source,value,side,clip_delta
raw_net0,-4.650853633880615,below,0.6508536338806152
raw_net0,-4.325824737548828,below,0.3258247375488281
raw_net0,5.562235355377197,above,1.5934853553771973
raw_net0,3.9790656566619873,above,0.010315656661987305
raw_net0,4.784826755523682,above,0.8160767555236816
raw_net0,-11.086918830871582,below,7.086918830871582
raw_net0,7.599524974822998,above,3.630774974822998
raw_net0,7.249387741088867,above,3.280637741088867
raw_net0,-6.3874192237854,below,2.3874192237854004
raw_net0,9.556695938110352,above,5.587945938110352
raw_net0,6.355581283569336,above,2.386831283569336
raw_net0,-4.079804420471191,below,0.0798044204711914
raw_net0,4.086138725280762,above,0.11738872528076172
raw_net0,-4.033121109008789,below,0.03312110900878906
raw_net0,-6.122783184051514,below,2.1227831840515137
raw_net0,5.073270320892334,above,1.104520320892334
raw_net0,-4.257753849029541,below,0.257753849029541
raw_net0,-4.348817825317383,below,0.3488178253173828
raw_net0,-6.62620735168457,below,2.6262073516845703
raw_net0,6.264590263366699,above,2.295840263366699
raw_net0,-4.765816688537598,below,0.7658166885375977
raw_net0,-4.782047748565674,below,0.7820477485656738
raw_net0,14.758837699890137,above,10.790087699890137
raw_net0,-4.980987548828125,below,0.980987548828125
raw_net0,-7.23524284362793,below,3.2352428436279297
raw_net0,-5.905960559844971,below,1.9059605598449707
